ID	VALUE
1112535	8152
1112539	104
1112543	139
1112547	534
1112551	109
1112555	0
1112559	28
1112563	0
1112567	0
1112571	468
1112575	809
1112579	10634
1112583	20
1112587	1549
1112591	0
1112595	0
1112599	7253
1112603	0
1112607	210
1112611	0
1112615	56
1112619	626
1112623	639
1112627	9
1112631	0
1112635	203
1112639	548
1112643	190
1112647	1311
1112651	430
1112655	371
1112659	0
1112663	0
1112667	320
1112671	274
1112675	163
1112679	0
1112683	761
1112687	160
1112691	0
1112695	448
1112699	1001
1112703	0
1112707	0
1112711	227
1112715	0
1112719	284
1112723	0
1112727	0
1112731	0
1112735	2465
1112739	3661
1112743	0
1112747	3688
1112751	0
1112755	696
1112759	238
1112763	596
1112767	5208
1112771	10
1112775	0
1112779	3104
1112783	228
1112787	32
1112791	406
1112795	0
1112799	0
1112803	597
1112807	21
1112811	1919
1112815	893
1112819	0
1112823	365
1112827	1783
1112831	0
1112835	884
1112839	0
1112843	66
1112847	554
1112851	2892
1112855	3145
1112859	10526
1112863	540
1112867	919
1112871	138
1112875	48
1112879	0
1112883	0
1112887	0
1112891	0
1112895	729
1112899	200
1112903	4737
1112907	290
1112911	1961
1112915	0
1112919	0
1112923	1824
1112927	0
1112931	572
1112935	0
1112939	666
1112943	525
1112947	288
1112951	6026
1112955	0
1112959	0
1112963	0
1112967	0
1112971	90
1112975	0
1112979	165
1112983	0
1112987	0
1112991	89
1112995	54
1112999	0
1113003	0
1113007	266
1113011	0
1113015	0
1113019	500
1113023	1410
1113027	0
1113031	0
1113035	4797
1113039	0
1113043	1652
1113047	0
1113051	0
1113055	100
1113059	1414
1113063	1930
1113067	974
1113071	19662
1113075	0
1113079	904
1113083	20
1113087	560
1113091	2962
1113095	0
1113099	0
1113103	1427
1113107	27
1113111	85
1113115	375
1113119	110
1113123	180
1113127	84
1113131	0
1113135	1087
1113139	410
1113143	761
1113147	58
1113151	384
1113155	0
1113159	114
1113163	12
1113167	0
1113171	0
1113175	551
1113179	3055
1113183	6201
1113187	282
1113191	19
1113195	381
1113199	480
1113203	0
1113207	400
1113211	0
1113215	0
1113219	217
1113223	230
1113227	4261
1113231	107
1113235	460
1113239	0
1113243	0
1113247	1220
1113251	0
1113255	340
1113259	0
1113263	190
1113267	794
1113271	1102
1113275	810
1113279	0
1113283	200
1113287	5
1113291	27
1113295	0
1113299	0
1113303	497
1113307	0
1113311	0
1113315	38
1113319	107
1113323	24
1113327	0
1113331	182
1113335	0
1113339	0
1113343	125
1113347	1726
1113351	0
1113355	0
1113359	144
1113363	0
1113367	249
1113371	0
1113375	0
1113379	0
1113383	573
1113387	4890
1113391	0
1113395	4005
1113399	0
1113403	480
1113407	115
1113411	985
1113415	6453
1113419	10
1113423	0
1113427	1135
1113431	348
1113435	150
1113439	338
1113443	0
1113447	0
1113451	139
1113455	0
1113459	2020
1113463	1004
1113467	0
1113471	140
1113475	2457
